category,return_net_5y
EQUITY,14.95
EQUITY,14.95
EQUITY,13.59
EQUITY,13.82
EQUITY,0.54
EQUITY,3.1
EQUITY,0.33
EQUITY,3.66
EQUITY,1.21
EQUITY,11.04
EQUITY,16.59
EQUITY,16.59
EQUITY,16.58
EQUITY,11.8
EQUITY,13.27
EQUITY,10.76
EQUITY,8.85
EQUITY,9.51
EQUITY,13.33
EQUITY,-3.51
EQUITY,-0.6
EQUITY,-3.77
EQUITY,0.84
EQUITY,9.18
EQUITY,10.37
EQUITY,10.89
EQUITY,9.31
EQUITY,-6.06
EQUITY,13.55
EQUITY,14.47
EQUITY,2.6
EQUITY,2.96
EQUITY,2.18
EQUITY,2.97
EQUITY,17.48
EQUITY,4.85
EQUITY,6.89
EQUITY,10.55
EQUITY,13.95
EQUITY,7.39
EQUITY,11.05
EQUITY,14.62
EQUITY,8.55
EQUITY,12.49
EQUITY,16.29
EQUITY,21.12
EQUITY,1.72
EQUITY,1.44
EQUITY,21.05
EQUITY,11.53
EQUITY,8.33
EQUITY,8.04
EQUITY,19.62
EQUITY,19.18
EQUITY,20.55
EQUITY,12.43
EQUITY,14.59
EQUITY,12.32
EQUITY,20.52
EQUITY,20.47
EQUITY,21.21
EQUITY,21.2
EQUITY,19.76
EQUITY,19.22
EQUITY,3.15
EQUITY,11.98
EQUITY,1.42
EQUITY,21.17
EQUITY,7.46
EQUITY,7.91
EQUITY,18.7
EQUITY,19.21
EQUITY,12.37
EQUITY,12.29
EQUITY,1.47
EQUITY,1.73
EQUITY,20.94
EQUITY,20.5
EQUITY,20.43
EQUITY,11.92
EQUITY,14.93
EQUITY,11.91
EQUITY,20.43
EQUITY,20.75
EQUITY,12.13
EQUITY,1.59
EQUITY,19.28
EQUITY,8.7
EQUITY,2.92
EQUITY,14.16
EQUITY,17.16
EQUITY,3.8
EQUITY,10.91
EQUITY,1.98
EQUITY,2.25
EQUITY,3.07
EQUITY,2.65
EQUITY,8.91
EQUITY,8.47
EQUITY,8.51
EQUITY,17.09
EQUITY,14.04
EQUITY,8.94
EQUITY,10.6
EQUITY,7.15
EQUITY,2.83
EQUITY,3.05
EQUITY,3.86
EQUITY,3.5
EQUITY,15.1
EQUITY,14.14
EQUITY,16.11
EQUITY,4.62
EQUITY,4.52
EQUITY,14.99
EQUITY,15.26
EQUITY,9.15
EQUITY,9.94
EQUITY,10.79
EQUITY,9.88
EQUITY,8.99
EQUITY,8.6
EQUITY,9.6
EQUITY,9.6
EQUITY,10.41
EQUITY,9.29
EQUITY,4.57
EQUITY,4.94
EQUITY,5.73
EQUITY,5.22
EQUITY,4.25
EQUITY,4.62
EQUITY,4.62
EQUITY,5.41
EQUITY,4.9
EQUITY,9.8
EQUITY,10.45
EQUITY,11.21
EQUITY,10.5
EQUITY,11.31
EQUITY,11.94
EQUITY,12.8
EQUITY,12.03
EQUITY,15.5
EQUITY,16.48
EQUITY,16.48
EQUITY,17.35
EQUITY,16.23
EQUITY,6.58
EQUITY,7.04
EQUITY,7.84
EQUITY,7.24
EQUITY,16.95
EQUITY,6.87
EQUITY,7.68
EQUITY,6.21
EQUITY,6.9
EQUITY,8.59
EQUITY,7.71
EQUITY,7.67
EQUITY,6.87
EQUITY,6.89
EQUITY,6.21
EQUITY,4.29
EQUITY,5.08
EQUITY,3.87
EQUITY,4.54
EQUITY,5.98
EQUITY,5.34
EQUITY,5.08
EQUITY,4.29
EQUITY,4.54
EQUITY,3.87
EQUITY,9.82
EQUITY,9.86
EQUITY,9.04
EQUITY,8.85
EQUITY,8.16
EQUITY,9.86
EQUITY,9.04
EQUITY,10.73
EQUITY,9.66
EQUITY,8.84
EQUITY,10.25
EQUITY,9.42
EQUITY,9.2
EQUITY,8.5
EQUITY,10.25
EQUITY,9.42
EQUITY,13.61
EQUITY,15.03
EQUITY,13.53
EQUITY,17.16
EQUITY,16.33
EQUITY,18.17
EQUITY,12.75
EQUITY,12.03
EQUITY,14.2
EQUITY,13.34
EQUITY,14.2
EQUITY,11.11
EQUITY,10.28
EQUITY,9.93
EQUITY,9.23
EQUITY,11.11
EQUITY,10.28
EQUITY,11.65
EQUITY,14.55
EQUITY,16.19
EQUITY,16.19
EQUITY,-2.82
EQUITY,-2.75
EQUITY,6.82
EQUITY,8.3
EQUITY,6.13
EQUITY,7.51
EQUITY,13.83
EQUITY,13.07
EQUITY,9.1
EQUITY,10.01
EQUITY,9.99
EQUITY,9.7
EQUITY,8.62
EQUITY,11.47
EQUITY,10.36
EQUITY,4.21
EQUITY,2.41
EQUITY,12.87
EQUITY,12.87
EQUITY,12.98
EQUITY,14.13
EQUITY,13.56
EQUITY,-1.44
EQUITY,12.7
EQUITY,10.11
EQUITY,9.09
EQUITY,11.24
EQUITY,14.87
EQUITY,9.26
EQUITY,11.54
EQUITY,13.46
EQUITY,13.47
EQUITY,3.03
EQUITY,2.71
EQUITY,2.81
EQUITY,3.2
EQUITY,11.46
EQUITY,11.45
EQUITY,12.73
EQUITY,11.02
EQUITY,10.8
EQUITY,2.15
EQUITY,0.83
EQUITY,7.53
EQUITY,2.35
EQUITY,4.11
EQUITY,5.65
EQUITY,4.44
EQUITY,0.03
EQUITY,2.92
EQUITY,6.06
EQUITY,18.98
EQUITY,23.75
EQUITY,18.35
EQUITY,33.04
EQUITY,7.29
EQUITY,5.02
EQUITY,10.31
EQUITY,7.99
EQUITY,-0.95
EQUITY,-3.04
EQUITY,14.18
EQUITY,12.77
EQUITY,4.88
EQUITY,2.67
EQUITY,6.62
EQUITY,4.36
EQUITY,8.43
EQUITY,13.44
EQUITY,10.6
EQUITY,4.38
EQUITY,10.9
EQUITY,10.58
EQUITY,10.08
EQUITY,13.87
EQUITY,13.62
EQUITY,7.54
EQUITY,13.87
EQUITY,7.86
EQUITY,10.61
EQUITY,7.41
EQUITY,9.14
EQUITY,8.58
EQUITY,10.43
EQUITY,12.19
EQUITY,13.67
EQUITY,12.29
EQUITY,9.69
EQUITY,7.38
EQUITY,8.8
EQUITY,13.86
EQUITY,19.59
EQUITY,15.67
EQUITY,11.58
EQUITY,6.79
EQUITY,4.54
EQUITY,9.36
EQUITY,9.71
EQUITY,10.56
EQUITY,6.81
EQUITY,16.91
EQUITY,14.44
EQUITY,1.7
EQUITY,-0.44
EQUITY,14.23
EQUITY,11.82
EQUITY,13.94
EQUITY,11.54
EQUITY,14.03
EQUITY,15.04
EQUITY,12.61
EQUITY,22.07
EQUITY,19.5
EQUITY,17.13
EQUITY,14.66
EQUITY,14.28
EQUITY,-15.63
EQUITY,-14.4
EQUITY,-8.07
EQUITY,-4.93
EQUITY,-17.82
EQUITY,-1.36
EQUITY,8.66
EQUITY,11.02
EQUITY,0.42
EQUITY,1.02
EQUITY,1.32
EQUITY,1.94
EQUITY,1.94
EQUITY,2.11
EQUITY,2.05
EQUITY,12.51
EQUITY,12.52
EQUITY,12.69
EQUITY,12.69
EQUITY,12.63
EQUITY,12.66
EQUITY,12.68
EQUITY,10.35
EQUITY,10.35
EQUITY,10.53
EQUITY,10.53
EQUITY,10.48
EQUITY,13.92
EQUITY,14.21
EQUITY,15.72
EQUITY,15.72
EQUITY,13.28
EQUITY,15.9
EQUITY,15.9
EQUITY,13.46
EQUITY,15.85
EQUITY,8.83
EQUITY,8.83
EQUITY,8.95
EQUITY,8.95
EQUITY,8.89
EQUITY,15.96
EQUITY,16.62
EQUITY,16.63
EQUITY,21.28
EQUITY,20.87
EQUITY,20.5
EQUITY,0.25
EQUITY,21.44
EQUITY,21.06
EQUITY,4.81
EQUITY,10.44
EQUITY,12.67
EQUITY,0.33
EQUITY,0.55
EQUITY,12.99
EQUITY,16.94
EQUITY,11.08
EQUITY,0.76
EQUITY,5.48
EQUITY,10.83
EQUITY,17.39
EQUITY,1.79
EQUITY,7.77
EQUITY,10.65
EQUITY,8.18
EQUITY,8.55
EQUITY,10.09
EQUITY,13.86
EQUITY,4.63
EQUITY,15.13
EQUITY,15.86
EQUITY,15.87
EQUITY,9.39
EQUITY,10.1
EQUITY,12.71
EQUITY,13.56
EQUITY,12.55
EQUITY,10.95
EQUITY,9.76
EQUITY,8.63
EQUITY,16.26
EQUITY,16.26
EQUITY,16.14
EQUITY,10.07
EQUITY,9.27
EQUITY,17.99
EQUITY,12.39
EQUITY,7.83
EQUITY,3.84
EQUITY,7.98
EQUITY,3.73
EQUITY,7.95
EQUITY,7.18
EQUITY,9.67
EQUITY,6.8
EQUITY,4.33
EQUITY,6.39
EQUITY,2.78
EQUITY,7.25
EQUITY,18.76
EQUITY,14.28
EQUITY,4.21
EQUITY,14.38
EQUITY,-0.15
EQUITY,-1.83
EQUITY,4.92
EQUITY,16.8
EQUITY,19.48
EQUITY,6.97
EQUITY,13.8
EQUITY,4.71
EQUITY,16.9
EQUITY,11.79
EQUITY,-2.71
EQUITY,-11.82
EQUITY,-5.7
EQUITY,5.2
EQUITY,2.49
EQUITY,12.94
EQUITY,9.66
EQUITY,3.9
EQUITY,2.02
EQUITY,19.68
EQUITY,0.5
EQUITY,14.6
EQUITY,8.33
EQUITY,2.3
EQUITY,1.06
EQUITY,1.63
EQUITY,13.34
EQUITY,13.6
EQUITY,1.54
EQUITY,10.73
EQUITY,12.73
EQUITY,12.79
EQUITY,16.89
EQUITY,7.08
EQUITY,16.75
EQUITY,11.25
EQUITY,15.86
EQUITY,11.39
EQUITY,3.32
EQUITY,18.16
EQUITY,8.37
EQUITY,7.14
EQUITY,12.57
EQUITY,10.46
EQUITY,12.48
EQUITY,12.49
EQUITY,15.55
EQUITY,16.36
EQUITY,13.11
EQUITY,13.9
EQUITY,10.52
EQUITY,11.68
EQUITY,5.22
EQUITY,15.15
EQUITY,13.27
EQUITY,3.46
EQUITY,6.36
EQUITY,-8.57
EQUITY,11.6
EQUITY,11.93
EQUITY,11.62
EQUITY,11.12
EQUITY,4.05
EQUITY,3.75
EQUITY,9.84
EQUITY,4.89
EQUITY,16.91
EQUITY,12.61
EQUITY,8.61
EQUITY,8.88
EQUITY,15.76
EQUITY,17.29
EQUITY,10.69
EQUITY,5.62
EQUITY,8.79
EQUITY,9.17
EQUITY,9.17
EQUITY,8.12
EQUITY,15.31
EQUITY,14.57
EQUITY,13.31
EQUITY,10.43
EQUITY,9.12
EQUITY,18.22
EQUITY,-14.93
EQUITY,9.8
EQUITY,13.86
EQUITY,10.6
EQUITY,17.73
EQUITY,3.29
EQUITY,17.73
EQUITY,3.04
EQUITY,3.25
EQUITY,2.7
EQUITY,2.63
EQUITY,3.25
EQUITY,3.46
EQUITY,3.09
EQUITY,3.72
EQUITY,3.93
EQUITY,3.93
EQUITY,1.95
EQUITY,2.73
EQUITY,20.09
EQUITY,20.39
EQUITY,21.21
EQUITY,18.6
EQUITY,19.71
EQUITY,3.77
EQUITY,3.77
EQUITY,4.48
EQUITY,4.49
EQUITY,3.88
EQUITY,4.49
EQUITY,4.5
EQUITY,4.2
EQUITY,4.93
EQUITY,4.94
EQUITY,5.6
EQUITY,5.61
EQUITY,6.34
EQUITY,6.35
EQUITY,5.78
EQUITY,6.28
EQUITY,6.3
EQUITY,6.11
EQUITY,6.88
EQUITY,6.89
EQUITY,7.49
EQUITY,-21.96
EQUITY,-33.66
EQUITY,6.67
EQUITY,-44.17
EQUITY,4.22
EQUITY,-17.59
EQUITY,-35.6
EQUITY,37.68
EQUITY,1.17
EQUITY,-50.69
EQUITY,-28.28
EQUITY,26.97
EQUITY,-15
EQUITY,-88.07
EQUITY,42.83
EQUITY,-57.08
EQUITY,-18.84
EQUITY,13.72
EQUITY,-9.79
EQUITY,-11.79
EQUITY,-14.28
EQUITY,-27.18
EQUITY,26.51
EQUITY,7.87
EQUITY,-33.43
EQUITY,12.02
EQUITY,0.53
EQUITY,9.35
EQUITY,10.26
EQUITY,10.37
EQUITY,4.95
EQUITY,5.32
EQUITY,5.28
EQUITY,5.49
EQUITY,7.03
EQUITY,6.99
EQUITY,6.72
EQUITY,7.97
EQUITY,7.93
EQUITY,7.68
EQUITY,8.81
EQUITY,8.77
EQUITY,8.5
EQUITY,9.55
EQUITY,9.52
EQUITY,9.25
EQUITY,10.25
EQUITY,10.18
EQUITY,9.91
EQUITY,10.82
EQUITY,10.75
EQUITY,10.49
EQUITY,11.22
EQUITY,11.14
EQUITY,10.87
EQUITY,11.56
EQUITY,11.51
EQUITY,11.21
EQUITY,5.83
EQUITY,5.78
EQUITY,5.52
EQUITY,11.71
EQUITY,14.44
EQUITY,10.54
EQUITY,10.04
EQUITY,-0.4
EQUITY,-0.96
EQUITY,18.28
EQUITY,17.11
EQUITY,18.54
EQUITY,14.2
EQUITY,9.91
EQUITY,9.93
EQUITY,1.34
EQUITY,1.49
EQUITY,1.53
EQUITY,0.67
EQUITY,0.78
EQUITY,0.83
EQUITY,2.92
EQUITY,2.92
EQUITY,2.95
EQUITY,0.5
EQUITY,0.83
EQUITY,0.78
EQUITY,0.67
EQUITY,13.2
EQUITY,17.29
EQUITY,16.19
EQUITY,20.07
EQUITY,18.86
EQUITY,10.11
EQUITY,5.99
EQUITY,8.05
EQUITY,19.86
EQUITY,7.59
EQUITY,3.18
EQUITY,3.71
EQUITY,3.81
EQUITY,3.73
EQUITY,16.75
EQUITY,18.32
EQUITY,18.32
EQUITY,14.04
